#atmos ID, Teff [K], log(g) [cgs], [Fe/H], [alpha/Fe], mass, Vturb [km/s], A(X), pointer
'p2500_g+4.0_m0.0_t01_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.2500	0.0000	0.00	1.00	7.7500      22651037 
'p2500_g+4.0_m0.0_t01_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.5000	0.0000	0.00	1.00	8.0000      22923929 
'p2500_g+4.0_m0.0_t01_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.7500	0.0000	0.00	1.00	8.2500      23196821 
'p2500_g+4.0_m0.0_t01_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	1.0000	0.0000	0.00	1.00	8.5000      23469713 
'p2500_g+4.0_m0.0_t01_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	4.0000	-0.2500	0.1000	0.00	1.00	7.2500      23742605 
'p2500_g+4.0_m0.0_t01_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	4.0000	-0.5000	0.2000	0.00	1.00	7.0000      24015497 
'p2500_g+4.0_m0.0_t01_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	4.0000	-0.7500	0.3000	0.00	1.00	6.7500      24288389 
'p2500_g+4.0_m0.0_t01_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.0000	0.4000	0.00	1.00	6.5000      24561281 
'p2500_g+4.0_m0.0_t01_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.5000	0.4000	0.00	1.00	6.0000      24834173 
'p2500_g+4.0_m0.0_t01_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.0000	0.4000	0.00	1.00	5.5000      25107065 
'p2500_g+4.0_m0.0_t01_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.5000	0.4000	0.00	1.00	5.0000      25379957 
'p2500_g+4.0_m0.0_t02_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.0000	0.0000	0.00	2.00	7.5000      25652849 
'p2500_g+4.0_m0.0_t02_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.2500	0.0000	0.00	2.00	7.7500      25925741 
'p2500_g+4.0_m0.0_t02_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.5000	0.0000	0.00	2.00	8.0000      26198633 
'p2500_g+4.0_m0.0_t02_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.7500	0.0000	0.00	2.00	8.2500      26471525 
'p2500_g+4.0_m0.0_t02_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	1.0000	0.0000	0.00	2.00	8.5000      26744417 
'p2500_g+4.0_m0.0_t02_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	4.0000	-0.2500	0.1000	0.00	2.00	7.2500      27017309 
'p2500_g+4.0_m0.0_t02_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	4.0000	-0.5000	0.2000	0.00	2.00	7.0000      27290201 
'p2500_g+4.0_m0.0_t02_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	4.0000	-0.7500	0.3000	0.00	2.00	6.7500      27563093 
'p2500_g+4.0_m0.0_t02_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.0000	0.4000	0.00	2.00	6.5000      27835985 
'p2500_g+4.0_m0.0_t02_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.5000	0.4000	0.00	2.00	6.0000      28108877 
'p2500_g+4.0_m0.0_t02_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.0000	0.4000	0.00	2.00	5.5000      28381769 
'p2500_g+4.0_m0.0_t02_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.5000	0.4000	0.00	2.00	5.0000      28654661 
'p2500_g+4.0_m0.0_t05_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.0000	0.0000	0.00	5.00	7.5000      28927553 
'p2500_g+4.5_m0.0_t00_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.0000	0.0000	0.00	0.00	7.5000      29200445 
'p2500_g+4.5_m0.0_t00_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.2500	0.0000	0.00	0.00	7.7500      29473337 
'p2500_g+4.5_m0.0_t00_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.5000	0.0000	0.00	0.00	8.0000      29746229 
'p2500_g+4.5_m0.0_t00_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.7500	0.0000	0.00	0.00	8.2500      30019121 
'p2500_g+4.5_m0.0_t00_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	1.0000	0.0000	0.00	0.00	8.5000      30292013 
'p2500_g+4.5_m0.0_t00_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	4.5000	-0.2500	0.1000	0.00	0.00	7.2500      30564905 
'p2500_g+4.5_m0.0_t00_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	4.5000	-0.5000	0.2000	0.00	0.00	7.0000      30837797 
'p2500_g+4.5_m0.0_t00_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	4.5000	-0.7500	0.3000	0.00	0.00	6.7500      31110689 
'p2500_g+4.5_m0.0_t00_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.5000	-1.0000	0.4000	0.00	0.00	6.5000      31383581 
'p2500_g+4.5_m0.0_t00_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.5000	-1.5000	0.4000	0.00	0.00	6.0000      31656473 
'p2500_g+4.5_m0.0_t01_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.0000	0.0000	0.00	1.00	7.5000      31929365 
'p2500_g+4.5_m0.0_t01_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.2500	0.0000	0.00	1.00	7.7500      32202257 
'p2500_g+4.5_m0.0_t01_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.5000	0.0000	0.00	1.00	8.0000      32475149 
'p2500_g+4.5_m0.0_t01_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	0.7500	0.0000	0.00	1.00	8.2500      32748041 
'p2500_g+4.5_m0.0_t01_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.5000	1.0000	0.0000	0.00	1.00	8.5000      33020933 
